Rank & Name of the Institute,City,State,NIRF Score
Serial No.,College Name,City,State
1,"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi
2,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh
3,Christian Medical College,Vellore,Tamil Nadu
4,"National Institute of Mental Health & Neuro Sciences, Bangalore",Bangalore,Karnataka
5,Banaras Hindu University,Varanasi,Uttar Pradesh
6,Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry
7,Sanjay Gandhi Postgraduate Institute of Medical Sciences,Lucknow,Uttar Pradesh
8,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu
9,"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram",Thiruvananthapuram,Kerala
10,"Kasturba Medical College, Manipal",Manipal,Karnataka
