Rank & Name of the Institute,City,State,NIRF Score
Serial No.,College Name,City,State
1,Indian Institute of Technology Madras,Chennai,Tamil Nadu
2,Indian Institute of Science,Bengaluru,Karnataka
3,"Indian Institute of Technology, Bombay",Mumbai,Maharashtra
4,"Indian Institute of Technology, Delhi",New Delhi,Delhi
5,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh
6,"Indian Institute of Technology, Kharagpur",Kharagpur,West Bengal
7,"Indian Institute of Technology, Roorkee",Roorkee,Uttarakhand
8,Indian Institute of Technology Guwahati,Guwahati,Assam
9,"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi
10,Jawaharlal Nehru University,New Delhi,Delhi
11,Banaras Hindu University,Varanasi,Uttar Pradesh
12,Jadavpur University,Kolkata,West Bengal
13,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi
14,Indian Institute of Technology Hyderabad,Hyderabad,Telangana
15,Calcutta University,Kolkata,West Bengal
16,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu
17,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka
18,Vellore Institute of Technology,Vellore,Tamil Nadu
19,Aligarh Muslim University,Aligarh,Uttar Pradesh
20,University of Hyderabad,Hyderabad,Telangana
21,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,Tamil Nadu
22,Anna University,Chennai,Tamil Nadu
23,University of Delhi,Delhi,Delhi
24,Bharathiar University,Coimbatore,Tamil Nadu
25,Savitribai Phule Pune University,Pune,Maharashtra
26,"Indian Institute of Science Education & Research, Pune",Pune,Maharashtra
27,"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka
28,Institute of Chemical Technology,Mumbai,Maharashtra
29,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh
30,Siksha `O` Anusandhan,Bhubaneswar,Odisha
31,Indian Institute of Technology Indore,Indore,Madhya Pradesh
32,Birla Institute of Technology & Science – Pilani,Pilani,Rajasthan
33,Homi Bhabha National Institute,Mumbai,Maharashtra
34,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha
35,Indian Institute of Technology Ropar,Rupnagar,Punjab
36,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu
37,"Indian Institute of Technology, Gandhinagar",Gandhinagar,Gujarat
38,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand
39,National Institute of Technology Rourkela,Rourkela,Odisha
40,"Indian Institute of Science Education & Research, Kolkata",Mohanpur,West Bengal
41,Panjab University,Chandigarh,Chandigarh
42,Amity University,Gautam Budh Nagar,Uttar Pradesh
43,"Indian Institute of Technology, Mandi",Mandi,Himachal Pradesh
44,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu
45,National Institute of Technology Warangal,Warangal,Telangana
46,Osmania University,Hyderabad,Telangana
47,"Indian Institute of Science Education & Research, Mohali",Mohali,Punjab
48,Chandigarh University,Mohali,Punjab
49,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu
50,Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu
