Rank & Name of the Institute,City,State,NIRF Score
Serial No.,College Name,City,State
1,Indian Institute of Science,Bengaluru,Karnataka
2,Jawaharlal Nehru University,New Delhi,Delhi
3,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi
4,Jadavpur University,Kolkata,West Bengal
5,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu
6,Banaras Hindu University,Varanasi,Uttar Pradesh
7,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka
8,Calcutta University,Kolkata,West Bengal
9,Vellore Institute of Technology,Vellore,Tamil Nadu
10,University of Hyderabad,Hyderabad,Telangana
